Date,Facility Type,State,Canonical Facility Name,Pop Tested,Pop Tested Positive,Pop Tested Negative,Pop Deaths,Staff Tested,Staff Tested Positive,Staff Tested Negative,Staff Deaths,Source,Compilation,Notes
2020-04-01,State Prisons,Minnesota,Lino Lakes,,0,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,North Dakota,James River Correctional Center,,0,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Florida,Century Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Minnesota,Stillwater,,0,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Illinois,Crossroads Adult Transition Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Florida,Marion Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Oregon,Oregon State Penitentiary,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Oregon,Oregon State Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Illinois,North Lawndale Adult Transition Center,,4,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Florida,Sumter Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Georgia,Lee State Prison,,7,,1,,5,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Georgia,Wheeler Correctional Facility,,1,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Washington State Penitentiary,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,North Dakota,North Dakota State Penitentiary,,0,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Kansas,Wichita Work Release Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Louisiana,Dixon Correctional Institute,,1,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Cedar Creek Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Georgia,Calhoun State Prison,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Michigan,Detroit Reentry Center,,9,,,,2,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Louisiana,Allen Correctional Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Washington Corrections Center for Women,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,North Dakota,Missouri River Correctional Center,,0,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Louisiana,Louisiana State Penitentiary,,0,,,,5,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Illinois,Stateville Correctional Center,,,,1,,16,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Michigan,Parnall Correctional Facility,,59,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Louisiana,David Wade Correctional Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Mission Creek Corrections Center for Women,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Michigan,Newberry Correctional Facility,,1,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Kansas,Kansas Juvenile Correctional Complex,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Illinois,Stateville NRC,,0,,,,4,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Wisconsin,Columbia Correctional Institution,,0,,,,2,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Clallam Bay Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Michigan,Duane Waters Health Center,,3,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Wisconsin,Milwaukee Secure Detention Facility,,0,,,,2,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Illinois,Sheridan Correctional Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Kansas,Hutchinson Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Michigan,Women's Huron Valley Correctional Facility,,14,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Kansas,Winfield Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Florida,Everglades Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Louisiana,Raymond Laborde Correctional Center,,0,,,,5,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Michigan,Macomb Correctional Facility,,38,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Michigan,Lakeland Correctional Facility,,14,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Florida,Florida Women's Reception Center (FWRC),,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Washington Corrections Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Georgia,Ware State Prison,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Olympic Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Georgia,Johnson State Prison,,1,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Michigan,Woodland Center Correctional Facility,,2,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Minnesota,Shakopee,,0,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,North Dakota,North Dakota Youth Correctional Center,,0,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Minnesota,Rush City,,0,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Kansas,Ellsworth Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Louisiana,Louisiana Correctional Institute for Women,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Georgia,Phillips State Prison,,1,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Monroe Correctional Complex,,0,,,,3,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Kansas,Topeka Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Kansas,El Dorado Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Stafford Creek Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Kansas,Lansing Correctional Facility,,0,,,,3,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Kansas,Larned Correctional Mental Health Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Illinois,Menard Correctional Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Florida,Zephyrhills Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Minnesota,Oak Park Heights,,0,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Kansas,Norton Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Washington,Larch Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Minnesota,St. Cloud,,0,,,,,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Wisconsin,Waupun Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-01,State Prisons,Michigan,Kinross Correctional Facility,,1,,,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Louisiana,Elayn Hunt Correctional Center,,0,,,,3,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Coyote Ridge Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Airway Heights Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Minnesota,Faribault,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Georgia,Macon State Prison,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Minnesota,Moose Lake,,4,,0,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Minnesota,Lino Lakes,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,North Dakota,James River Correctional Center,,0,,,,,,0,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Florida,Century Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Minnesota,Stillwater,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Illinois,Crossroads Adult Transition Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Florida,Marion Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Oregon,Oregon State Penitentiary,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Oregon,Oregon State Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Illinois,North Lawndale Adult Transition Center,,4,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Florida,Sumter Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Georgia,Lee State Prison,,7,,1,,8,,0,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Georgia,Wheeler Correctional Facility,,1,,,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Washington State Penitentiary,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,North Dakota,North Dakota State Penitentiary,,0,,,,,,0,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Kansas,Wichita Work Release Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Louisiana,Dixon Correctional Institute,,1,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Cedar Creek Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Georgia,Calhoun State Prison,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Michigan,Detroit Reentry Center,,10,,,,,,1,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Louisiana,Allen Correctional Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Washington Corrections Center for Women,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,North Dakota,Missouri River Correctional Center,,0,,,,,,0,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Louisiana,Louisiana State Penitentiary,,1,,,,5,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Illinois,Stateville Correctional Center,,49,,1,,17,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Michigan,Parnall Correctional Facility,,70,,,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Louisiana,David Wade Correctional Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Mission Creek Corrections Center for Women,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Michigan,Newberry Correctional Facility,,1,,,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Kansas,Kansas Juvenile Correctional Complex,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Illinois,Stateville NRC,,0,,,,4,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Wisconsin,Columbia Correctional Institution,,0,,,,2,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Clallam Bay Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Michigan,Duane Waters Health Center,,5,,,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Wisconsin,Milwaukee Secure Detention Facility,,0,,,,3,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Illinois,Sheridan Correctional Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Kansas,Hutchinson Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Michigan,Women's Huron Valley Correctional Facility,,15,,,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Kansas,Winfield Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Florida,Everglades Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Louisiana,Raymond Laborde Correctional Center,,0,,,,5,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Michigan,Macomb Correctional Facility,,42,,,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Michigan,Lakeland Correctional Facility,,17,,,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Florida,Florida Women's Reception Center (FWRC),,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Washington Corrections Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Georgia,Ware State Prison,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Olympic Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Georgia,Johnson State Prison,,1,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Michigan,Woodland Center Correctional Facility,,2,,,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Minnesota,Shakopee,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,North Dakota,North Dakota Youth Correctional Center,,0,,,,,,0,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Minnesota,Rush City,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Kansas,Ellsworth Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Louisiana,Louisiana Correctional Institute for Women,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Georgia,Phillips State Prison,,1,,,,2,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Monroe Correctional Complex,,0,,,,3,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Kansas,Topeka Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Kansas,El Dorado Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Stafford Creek Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Kansas,Lansing Correctional Facility,,0,,,,3,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Kansas,Larned Correctional Mental Health Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Illinois,Menard Correctional Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Florida,Zephyrhills Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Minnesota,Oak Park Heights,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Kansas,Norton Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Washington,Larch Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Minnesota,St. Cloud,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Wisconsin,Waupun Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-02,State Prisons,Michigan,Kinross Correctional Facility,,1,,,,,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Louisiana,Elayn Hunt Correctional Center,,0,,,,3,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Washington,Coyote Ridge Corrections Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Washington,Airway Heights Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Minnesota,Faribault,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Georgia,Macon State Prison,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Minnesota,Moose Lake,,7,,0,,2,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Minnesota,Lino Lakes,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,South Carolina,MacDougall Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,North Dakota,James River Correctional Center,,0,,,,,,0,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Florida,Century Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,South Carolina,Walden Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Illinois,Logan Correctional Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Minnesota,Stillwater,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Alabama,Staton Correctional Facility,,,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Illinois,Crossroads Adult Transition Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,South Carolina,Lee Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Alabama,Montgomery Women's Facility,,,,,,,,,,,
2020-04-03,State Prisons,Florida,Marion Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,New Jersey,South Woods State Prison,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Oregon,Oregon State Penitentiary,,0,,,,2,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Oregon,Oregon State Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Illinois,North Lawndale Adult Transition Center,,4,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Florida,Sumter Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Georgia,Lee State Prison,,7,,1,,8,,0,,UCLA Law Behind Bars,
2020-04-03,State Prisons,South Carolina,Allendale Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,New Jersey,Southern State Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,South Carolina,Perry Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Alabama,Childersburg (total),,,,,,,,,,,
2020-04-03,State Prisons,Georgia,Wheeler Correctional Facility,,1,,,,,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,South Carolina,McCormick Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Washington,Washington State Penitentiary,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Alabama,Camden Work Release Center,,,,,,,,,,,
2020-04-03,State Prisons,North Dakota,North Dakota State Penitentiary,,0,,,,,,0,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Kansas,Wichita Work Release Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Florida,Columbia Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Louisiana,Dixon Correctional Institute,,1,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,South Carolina,Turbeville Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,South Carolina,Broad River Correctional Institution,,0,,,,3,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Washington,Cedar Creek Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,South Carolina,Tyger River Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,South Carolina,Kirkland Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Florida,Santa Rosa Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Georgia,Calhoun State Prison,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Alabama,Mobile Work Release Center,,,,,,,,,,,
2020-04-03,State Prisons,South Carolina,Trenton Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Michigan,Detroit Reentry Center,,11,,,,,,1,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Louisiana,Allen Correctional Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Washington,Washington Corrections Center for Women,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,North Dakota,Missouri River Correctional Center,,0,,,,,,0,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Louisiana,Louisiana State Penitentiary,,1,,,,6,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Illinois,Stateville Correctional Center,,56,,1,,19,,,,UCLA Law Behind Bars,
2020-04-03,State Prisons,Alabama,Hamilton Aged & Infirmed,,,,,,,,,,,
2020-04-03,State Prisons,Alabama,Easterling Correctional Facility,,,,,,,,,,,
2020-04-03,State Prisons,Michigan,Parnall Correctional Facility,,80,,,,,,,,UCLA Law Behind Bars,
