"","State","Facility","Scrape Date","Inmates Positive","Inmates Negative","Inmates Pending","Inmates Tested","Inmates Recovered","Inmates Deaths"
"81","New Jersey","East Jersey State Prison","2020-05-02","17","","","","","8"
"82","North Carolina","Caledonia CI","2020-05-02","17","9","","26","",""
"83","Delaware","Sussex Community Corrections Center","2020-05-02","16","","","","",""
"84","New York","SHAWANGUNK","2020-05-02","16","2","3","","6","0"
"85","Washington","Monroe Correctional Complex","2020-05-02","16","","","","",""
"86","Federal","DAN","2020-05-02","15","","","","48","1"
"87","Federal","MIL","2020-05-02","15","","","","46","3"
"88","New York","EASTERN","2020-05-02","15","2","0","","6","0"
"89","Florida","South Bay CFOperated by
                   The GEO Group Inc.*","2020-05-02","14","7","1","","",""
"90","New Jersey","Southern State Correctional Facility","2020-05-02","14","","","","","0"
"91","New York","MIDSTATE","2020-05-02","14","8","0","","3","0"
"92","New Jersey","STU","2020-05-02","13","","","","","7"
"93","Ohio","NCCC","2020-05-02","13","","6","","3",""
"94","Illinois","Sheridan","2020-05-02","12","","","","11",""
"95","Ohio","LOCI","2020-05-02","12","","1","","0",""
"96","Texas","Woodman","2020-05-02","12","8","5","","",""
"97","New York","SOUTHPORT","2020-05-02","11","2","0","","1","0"
"98","Ohio","TOCI","2020-05-02","11","","0","","2",""
"99","South Carolina","Allendale","2020-05-02","11","","","","",""
"100","North Carolina","Bertie CI","2020-05-02","10","29","","39","",""
"101","Utah","Bonneville Community Correctional Center","2020-05-02","10","47","0","57","0",""
"102","Illinois","Hill","2020-05-02","9","","","","1",""
"103","Louisiana","Elayn Hunt Correctional Center","2020-05-02","9","","","","0","0"
"104","New Jersey","Adult Diagnostic and Treatment Center","2020-05-02","9","","","","","2"
"105","New Jersey","Edna Mahan Correctional Facility for Women","2020-05-02","9","","","","","1"
"106","New Jersey","Mid-State Correctional Facility","2020-05-02","9","","","","","1"
"107","Texas","Byrd","2020-05-02","9","16","0","","",""
"108","Texas","Montford","2020-05-02","9","3","1","","",""
"109","Texas","Stringfellow","2020-05-02","9","4","0","","",""
"110","Arizona","Marana*","2020-05-02","8","3","0","11","3",""
"111","New York","MARCY","2020-05-02","8","4","0","","8","0"
"112","North Carolina","Caswell CC","2020-05-02","8","0","","8","",""
"113","Ohio","LAECI","2020-05-02","8","","3","","0",""
"114","Texas","Gurney","2020-05-02","8","7","11","","",""
"115","Virginia","Buckingham Correctional Center","2020-05-02","8","","","","","0"
"116","Florida","Gadsden CFOperated by MTC.*","2020-05-02","7","1","1","","",""
"117","Oregon","SCI","2020-05-02","7","20","2","29","",""
"118","Texas","Goree","2020-05-02","7","3","0","","",""
"119","Federal","ALI","2020-05-02","6","","","","3","0"
"120","Texas","Jordan","2020-05-02","6","0","0","","",""
"121","Arizona","Eyman","2020-05-02","5","16","1","21","0",""
"122","Federal","BUH","2020-05-02","5","","","","0","0"
"123","Illinois","North Lawndale ATC","2020-05-02","5","","","","5",""
"124","Ohio","NERC","2020-05-02","5","","2","","0",""
"125","Texas","Baten","2020-05-02","5","1","0","","",""
"126","Texas","Darrington","2020-05-02","5","4","2","","",""
"127","Texas","Smith","2020-05-02","5","4","1","","",""
"128","Washington","Reynolds Work Release","2020-05-02","5","","","","",""
"129","Federal","ATL","2020-05-02","4","","","","12","0"
"130","Illinois","Fox Valley ATC","2020-05-02","4","","","","3",""
"131","New Jersey","Bo Robinson Assessment and Treatment","2020-05-02","4","","","","","0"
"132","Ohio","CCI","2020-05-02","4","","2","","0",""
"133","Ohio","LORCI","2020-05-02","4","","7","","0",""
"134","Texas","Lopez","2020-05-02","4","0","2","","",""
"135","Federal","BEN","2020-05-02","3","","","","1","0"
"136","Federal","YAP","2020-05-02","3","","","","0","0"
"137","Illinois","Crossroads ATC","2020-05-02","3","","","","1",""
"138","Kansas","Wichita Work Release","2020-05-02","3","","","","1",""
"139","New Jersey","Bayside State Prison","2020-05-02","3","","","","","0"
"140","New Jersey","Central Reception and Assignment Facility","2020-05-02","3","","","","","0"
"141","New Jersey","The Harbor House","2020-05-02","3","","","","","0"
"142","New York","MOHAWK/WALSH RMU","2020-05-02","3","10","1","","2","0"
"143","North Carolina","Johnston CI","2020-05-02","3","14","","17","",""
"144","North Carolina","Pender CI","2020-05-02","3","3","","6","",""
"145","North Carolina","Scotland CI","2020-05-02","3","16","","19","",""
"146","Alabama","St Clair","2020-05-02","2","","0","9","","1"
"147","Federal","OAD","2020-05-02","2","","","","6","0"
"148","Federal","RBK","2020-05-02","2","","","","9","0"
"149","Florida","SFRC","2020-05-02","2","18","1","","",""
"150","Kansas","Topeka","2020-05-02","2","","","","0",""
"151","Louisiana","Raymond Laborde Correctional Center","2020-05-02","2","","","","0","0"
"152","Mississippi","Mississippi State Penitentiary, Parchman","2020-05-02","2","","","","",""
"153","Mississippi","Winston-Choctaw County Correctional Facility","2020-05-02","2","","","","",""
"154","Montana","Gallatin Reentry Program - Bozeman","2020-05-02","2","","","","",""
"155","New Jersey","Garden State Youth Correctional Facility","2020-05-02","2","","","","","0"
"156","New York","ATTICA","2020-05-02","2","0","0","","0","0"
"157","New York","COXSACKIE","2020-05-02","2","8","0","","1","0"
"158","New York","SULLIVAN","2020-05-02","2","3","0","","0","0"
"159","New York","TACONIC","2020-05-02","2","0","0","","0","0"
"160","North Carolina","Central Prison","2020-05-02","2","37","","39","",""
"161","North Carolina","Southern CI","2020-05-02","2","1","","3","",""
"162","Pennsylvania","Parole","2020-05-02","2","0","","","0","0"
"163","Tennessee","Turney Center Industrial Complex-Annex","2020-05-02","2","36","0","38","",""
"164","Texas","Clemens","2020-05-02","2","2","1","","",""
"165","Texas","Hughes","2020-05-02","2","9","1","","",""
"166","Texas","No Longer in Custody","2020-05-02","2","14","0","","",""
"167","Texas","Ramsey","2020-05-02","2","3","0","","",""
"168","Alabama","Bibb","2020-05-02","1","","1","8","","0"
"169","Alabama","Bullock","2020-05-02","1","","0","5","1","0"
"170","Alabama","Easterling","2020-05-02","1","","0","2","","0"
"171","Alabama","Elba","2020-05-02","1","","0","2","1","0"
"172","Arizona","Perryville","2020-05-02","1","0","0","1","0",""
"173","Arizona","Tucson","2020-05-02","1","26","0","27","0",""
"174","Federal","COL","2020-05-02","1","","","","0","0"
"175","Federal","CRW","2020-05-02","1","","","","0","1"
"176","Federal","DEV","2020-05-02","1","","","","0","0"
"177","Federal","GIL","2020-05-02","1","","","","0","0"
"178","Federal","SEA","2020-05-02","1","","","","0","0"
"179","Federal","YAM","2020-05-02","1","","","","6","0"
"180","Florida","Martin CI","2020-05-02","1","10","0","","",""
"181","Illinois","Pontiac","2020-05-02","1","","","","1",""
"182","Illinois","Stateville NRC","2020-05-02","1","","","","1",""
"183","Iowa","Clarinda","2020-05-02","1","","","90","0",""
"184","Louisiana","Dixon Correctional Institute","2020-05-02","1","","","","1","0"
"185","New Jersey","Fletcher House","2020-05-02","1","","","","","0"
"186","New Jersey","Hope Hall","2020-05-02","1","","","","","0"
"187","New Jersey","Kintock Newark","2020-05-02","1","","","","","0"
"188","New York","CLINTON","2020-05-02","1","11","0","","1","0"
"189","New York","DOWNSTATE","2020-05-02","1","3","1","","1","0"
"190","New York","FRANKLIN","2020-05-02","1","11","1","","1","0"
"191","New York","QUEENSBORO","2020-05-02","1","0","0","","0","1"
"192","New York","ULSTER","2020-05-02","1","6","1","","1","0"
"193","New York","WALLKILL","2020-05-02","1","1","0","","0","0"
"194","Ohio","TCI","2020-05-02","1","","0","","0",""
"195","Oregon","TRCI","2020-05-02","1","5","0","6","",""
"196","Pennsylvania","Fayette","2020-05-02","1","5","","","0","0"
"197","South Dakota","Jameson Annex","2020-05-02","1","23","","","1","0"
"198","South Dakota","South Dakota Women's Prison","2020-05-02","1","29","","","1","0"
"199","Tennessee","Hardeman County Correctional Facility","2020-05-02","1","2","1","4","",""
"200","Tennessee","Mark Luttrell Transition Center","2020-05-02","1","1","1","3","",""
"201","Tennessee","Riverbend Maximum Security Institution","2020-05-02","1","1","0","2","",""
"202","Texas","Fort Stockton","2020-05-02","1","0","1","","",""
"203","Texas","Garza West","2020-05-02","1","4","3","","",""
"204","Texas","Skyview","2020-05-02","1","2","0","","",""
"205","Texas","Stiles","2020-05-02","1","10","0","","",""
"206","Washington","Community Medical Center","2020-05-02","1","","","","",""
"207","Washington","Washington Corrections Center","2020-05-02","1","","","","",""
"208","Alabama","Alex City","2020-05-02","0","","0","1","","0"
"209","Alabama","ATEF","2020-05-02","0","","0","4","","0"
"210","Alabama","Birmingham","2020-05-02","0","","0","0","","0"
"211","Alabama","Camden","2020-05-02","0","","0","2","","0"
"212","Alabama","Childersburg","2020-05-02","0","","0","2","","0"
"213","Alabama","Donaldson","2020-05-02","0","","0","7","","0"
"214","Alabama","Draper QIF","2020-05-02","0","","0","1","","0"
"215","Alabama","Elmore","2020-05-02","0","","1","3","","0"
"216","Alabama","Fountain","2020-05-02","0","","1","4","","0"
"217","Alabama","Frank Lee","2020-05-02","0","","0","0","","0"
"218","Alabama","Hamilton A&I","2020-05-02","0","","0","0","","0"
"219","Alabama","Hamilton CBF","2020-05-02","0","","0","0","","0"
"220","Alabama","Holman","2020-05-02","0","","0","3","","0"
"221","Alabama","Kilby","2020-05-02","0","","0","7","","0"
"222","Alabama","Limestone","2020-05-02","0","","0","7","","0"
"223","Alabama","Loxley","2020-05-02","0","","0","0","","0"
"224","Alabama","Mobile","2020-05-02","0","","0","1","","0"
"225","Alabama","Montgomery","2020-05-02","0","","0","0","","0"
"226","Alabama","North Alabama","2020-05-02","0","","0","1","","0"
"227","Alabama","Red Eagle","2020-05-02","0","","0","0","","0"
"228","Alabama","Staton","2020-05-02","0","","1","6","","0"
"229","Alabama","Tutwiler","2020-05-02","0","","1","3","","0"
"230","Alabama","Tutwiler QIF","2020-05-02","0","","0","0","","0"
"231","Alabama","Ventress","2020-05-02","0","","1","9","","0"
"232","Arizona","CACF*","2020-05-02","0","6","0","6","0",""
"233","Arizona","Douglas","2020-05-02","0","4","0","4","0",""
"234","Arizona","Florence West*","2020-05-02","0","1","0","1","0",""
"235","Arizona","Kingman*","2020-05-02","0","8","0","8","0",""
"236","Arizona","Lewis","2020-05-02","0","4","0","4","0",""
"237","Arizona","MRC","2020-05-02","0","0","0","0","0",""
"238","Arizona","Phoenix","2020-05-02","0","8","0","8","0",""
"239","Arizona","Phoenix West*","2020-05-02","0","1","0","1","0",""
"240","Arizona","PRC","2020-05-02","0","0","0","0","0",""
"241","Arizona","Red Rock*","2020-05-02","0","12","0","12","0",""
"242","Arizona","Safford","2020-05-02","0","1","0","1","0",""
"243","Arizona","Winslow","2020-05-02","0","2","0","2","0",""
"244","Arizona","Yuma","2020-05-02","0","7","0","7","0",""
"245","Delaware","Delores J. Baylor Woman's Correctional Institution","2020-05-02","0","","","","",""
"246","Delaware","Dover Probation and Parole","2020-05-02","0","","","","",""
"247","Delaware","Georgetown Administrative Services","2020-05-02","0","","","","",""
"248","Delaware","Georgetown Probation & Parole","2020-05-02","0","","","","",""
"249","Delaware","Hazel D. Plant Woman's Treatment Facility","2020-05-02","0","","","","",""
"250","Delaware","Howard R. Young Correctional Institution","2020-05-02","0","","","","",""
"251","Delaware","Morris Community Corrections Center","2020-05-02","0","","","","",""
"252","Delaware","New Castle Probation & Parole & Day Reporting Center (Hares Corner)","2020-05-02","0","","","","",""
"253","Delaware","Northern New Castle County Adult Probation & Parole (Cherry Lane)","2020-05-02","0","","","","",""
"254","Delaware","Plummer Community Corrections Center","2020-05-02","0","","","","",""
"255","Delaware","Seaford Probation & Parole Steven Floyd Training Academy","2020-05-02","0","","","","",""
"256","Delaware","Special Operations Group","2020-05-02","0","","","","",""
"257","Delaware","Sussex Correctional Institution","2020-05-02","0","","","","",""
"258","Federal","ALM","2020-05-02","0","","","","0","0"
"259","Federal","ALP","2020-05-02","0","","","","0","0"
"260","Federal","BML","2020-05-02","0","","","","0","0"
"261","Federal","BMM","2020-05-02","0","","","","0","0"
"262","Federal","BOP","2020-05-02","0","","","","0","0"
"263","Federal","BRO","2020-05-02","0","","","","6","0"
"264","Federal","CAA","2020-05-02","0","","","","1","0"
"265","Federal","CLP","2020-05-02","0","","","","0","0"
"266","Federal","COP","2020-05-02","0","","","","0","0"
"267","Federal","CUM","2020-05-02","0","","","","6","0"
"268","Federal","ENG","2020-05-02","0","","","","0","0"
"269","Federal","FAI","2020-05-02","0","","","","0","0"
"270","Federal","FOM","2020-05-02","0","","","","5","0"
"271","Federal","GRA","2020-05-02","0","","","","0","0"
"272","Federal","LAT","2020-05-02","0","","","","0","0"
"273","Federal","LEW","2020-05-02","0","","","","0","0"
"274","Federal","LOS","2020-05-02","0","","","","0","0"
"275","Federal","LVN","2020-05-02","0","","","","0","0"
"276","Federal","MCR","2020-05-02","0","","","","1","0"
"277","Federal","MEM","2020-05-02","0","","","","0","0"
"278","Federal","MIM","2020-05-02","0","","","","0","0"
"279","Federal","NYM","2020-05-02","0","","","","5","0"
"280","Federal","OTV","2020-05-02","0","","","","17","0"
"281","Federal","PHL","2020-05-02","0","","","","0","0"
"282","Federal","RCH","2020-05-02","0","","","","0","0"
"283","Federal","SER","2020-05-02","0","","","","0","0"
"284","Federal","TAL","2020-05-02","0","","","","0","0"
"285","Federal","TCP","2020-05-02","0","","","","0","0"
"286","Federal","TDG","2020-05-02","0","","","","0","0"
"287","Florida","Apalachee CI","2020-05-02","0","9","0","","",""
"288","Florida","Avon Park CI","2020-05-02","0","5","0","","",""
"289","Florida","Baker CI","2020-05-02","0","1","0","","",""
"290","Florida","Bay CFOperated by
                   The GEO Group Inc.*","2020-05-02","0","2","0","","",""
"291","Florida","Calhoun CI","2020-05-02","0","0","0","","",""
"292","Florida","Century CI","2020-05-02","0","1","0","","",""
"293","Florida","CFRC","2020-05-02","0","2","0","","",""
"294","Florida","Charlotte CI","2020-05-02","0","0","0","","",""
"295","Florida","Cross City CI","2020-05-02","0","3","0","","",""
"296","Florida","Dade CI","2020-05-02","0","3","1","","",""
"297","Florida","Desoto Annex","2020-05-02","0","0","0","","",""
"298","Florida","Everglades CI","2020-05-02","0","2","0","","",""
"299","Florida","Florida State Prison","2020-05-02","0","3","0","","",""
"300","Florida","Franklin CI","2020-05-02","0","0","0","","",""
"301","Florida","FWRC","2020-05-02","0","1","0","","",""
"302","Florida","Gadsden Re-Entry Center","2020-05-02","0","0","0","","",""
"303","Florida","Graceville CFOperated by
                   The GEO Group Inc.*","2020-05-02","0","0","0","","",""
"304","Florida","Gulf CI","2020-05-02","0","1","0","","",""
"305","Florida","Hamilton CI","2020-05-02","0","6","0","","",""
"306","Florida","Hardee CI","2020-05-02","0","2","0","","",""
"307","Florida","Hernando CI","2020-05-02","0","2","0","","",""
"308","Florida","Holmes CI","2020-05-02","0","0","0","","",""
"309","Florida","Homestead CI","2020-05-02","0","2","0","","",""
"310","Florida","Jackson CI","2020-05-02","0","0","0","","",""
"311","Florida","Jefferson CI","2020-05-02","0","1","0","","",""
"312","Florida","Lake CI","2020-05-02","0","2","0","","",""
"313","Florida","Lake City CFOperated by CoreCivic.*","2020-05-02","0","1","0","","",""
"314","Florida","Lancaster CI","2020-05-02","0","2","0","","",""
"315","Florida","Lawtey CI","2020-05-02","0","5","0","","",""
"316","Florida","Lowell CI","2020-05-02","0","11","0","","",""
"317","Florida","Madison CI","2020-05-02","0","1","0","","",""
"318","Florida","Marion CI","2020-05-02","0","5","0","","",""
"319","Florida","Mayo Annex","2020-05-02","0","3","0","","",""
"320","Florida","Moore Haven CFOperated by
                   The GEO Group Inc.*","2020-05-02","0","0","0","","",""
"321","Florida","New River CI","2020-05-02","0","3","0","","",""
"322","Florida","NWFRC","2020-05-02","0","2","0","","",""
"323","Florida","Okaloosa CI","2020-05-02","0","0","0","","",""
"324","Florida","Okeechobee CI","2020-05-02","0","3","0","","",""
"325","Florida","Polk CI","2020-05-02","0","1","0","","",""
"326","Florida","Putnam CI","2020-05-02","0","2","0","","",""
"327","Florida","RMC","2020-05-02","0","3","0","","",""
"328","Florida","Santa Rosa CI","2020-05-02","0","5","0","","",""
"329","Florida","Suwannee CI","2020-05-02","0","1","0","","",""
"330","Florida","Taylor CI","2020-05-02","0","5","0","","",""
"331","Florida","Union CI","2020-05-02","0","5","0","","",""
"332","Florida","Wakulla CI","2020-05-02","0","2","0","","",""
"333","Florida","Walton CI","2020-05-02","0","1","0","","",""
"334","Florida","Zephyrhills CI","2020-05-02","0","11","0","","",""
"335","Illinois","Danville","2020-05-02","0","","","","0",""
"336","Illinois","General Office","2020-05-02","0","","","","0",""
"337","Illinois","Graham","2020-05-02","0","","","","0",""
"338","Illinois","Jacksonville","2020-05-02","0","","","","0",""
"339","Illinois","Joliet Treatment Center","2020-05-02","0","","","","0",""
"340","Illinois","Kewanee LSRC","2020-05-02","0","","","","0",""
"341","Illinois","Logan","2020-05-02","0","","","","0",""
"342","Illinois","Menard","2020-05-02","0","","","","0",""
"343","Illinois","Parole","2020-05-02","0","","","","0",""
"344","Illinois","Southwestern IL","2020-05-02","0","","","","0",""
"345","Iowa","Anamosa","2020-05-02","0","","","6","0",""
"346","Iowa","Fort Dodge","2020-05-02","0","","","5","0",""
"347","Iowa","ICIW","2020-05-02","0","","","15","0",""
"348","Iowa","ISP","2020-05-02","0","","","3","0",""
"349","Iowa","Mt. Pleasant","2020-05-02","0","","","1","0",""
"350","Iowa","Newton","2020-05-02","0","","","13","0",""
"351","Iowa","North Central","2020-05-02","0","","","0","0",""
"352","Kansas","El Dorado","2020-05-02","0","","","","",""
"353","Kansas","Ellsworth","2020-05-02","0","","","","",""
"354","Kansas","Hutchinson","2020-05-02","0","","","","",""
"355","Kansas","KJCC","2020-05-02","0","","","","",""
"356","Kansas","Larned","2020-05-02","0","","","","",""
"357","Kansas","Norton","2020-05-02","0","","","","",""
"358","Kansas","Winfield","2020-05-02","0","","","","",""
"359","Louisiana","Allen Correctional Center","2020-05-02","0","","","","0","0"
"360","Louisiana","David Wade Correctional Center","2020-05-02","0","","","","0","0"
"361","Mississippi","Alcorn County Correctional Facility","2020-05-02","0","","","","",""
"362","Mississippi","Bolivar County Correctional Facility","2020-05-02","0","","","","",""
"363","Mississippi","Carroll-Montgomery County Correctional Facility","2020-05-02","0","","","","",""
"364","Mississippi","Central Mississippi Correctional Institution, Pearl","2020-05-02","0","","","","",""
"365","Mississippi","Chickasaw County Correctional Facility","2020-05-02","0","","","","",""
"366","Mississippi","East Mississippi Correctional Facility, Meridian","2020-05-02","0","","","","",""
"367","Mississippi","George County Correctional Facility","2020-05-02","0","","","","",""
"368","Mississippi","Holmes-Humphreys County Correctional Facility","2020-05-02","0","","","","",""
"369","Mississippi","Issaquena County Correctional Facility","2020-05-02","0","","","","",""
"370","Mississippi","Jefferson-Franklin County Correctional Facility","2020-05-02","0","","","","",""
"371","Mississippi","Kemper-Neshoba County Correctional Facility","2020-05-02","0","","","","",""
"372","Mississippi","Leake County Correctional Facility","2020-05-02","0","","","","",""
"373","Mississippi","Marion-Walthall County Correctional Facility","2020-05-02","0","","","","",""
"374","Mississippi","Marshall County Correctional Facility, Holly Springs","2020-05-02","0","","","","",""
"375","Mississippi","South Mississippi Correctional Institution, Leakesville","2020-05-02","0","","","","",""
"376","Mississippi","Stone County Correctional Facility","2020-05-02","0","","","","",""
"377","Mississippi","Washington County Correctional Facility","2020-05-02","0","","","","",""
"378","Mississippi","Wilkinson County Correctional Facility, Woodville","2020-05-02","0","","","","",""
"379","Mississippi","Yazoo County Correctional Facility","2020-05-02","0","","","","",""
"380","Montana","Alpha House - Billings","2020-05-02","0","","","","",""
"381","Montana","Butte Prerelease Center - Butte","2020-05-02","0","","","","",""
"382","Montana","CCP East - Butte","2020-05-02","0","","","","",""
"383","Montana","CCP West and WATCh West - Warm Springs","2020-05-02","0","","","","",""
"384","Montana","Crossroads Correctional Center","2020-05-02","0","","","","",""
"385","Montana","Dawson County Correctional Facility","2020-05-02","0","","","","",""
"386","Montana","Elkhorn Treatment Center - Boulder","2020-05-02","0","","","","",""
"387","Montana","Great Falls Regional Prison","2020-05-02","0","","","","",""
"388","Montana","Great Falls Transition Center - Great Falls","2020-05-02","0","","","","",""
"389","Montana","Helena Prerelease Center - Helena","2020-05-02","0","","","","",""
"390","Montana","Missoula Assessment & Sanction Center","2020-05-02","0","","","","",""
"391","Montana","Missoula Prerelease Center - Missoula","2020-05-02","0","","","","",""
"392","Montana","Montana State Prison","2020-05-02","0","","","","",""
"393","Montana","Montana Women's Prison","2020-05-02","0","","","","",""
"394","Montana","Nexus Treatment Program - Lewistown","2020-05-02","0","","","","",""
"395","Montana","Passages - Billings","2020-05-02","0","","","","",""
"396","Montana","Pine Hills Correctional Facility","2020-05-02","0","","","","",""
"397","Montana","START Assessment Center - Anaconda","2020-05-02","0","","","","",""
"398","Montana","WATCh East - Glendive","2020-05-02","0","","","","",""
"399","New Hampshire","NHCF-W","2020-05-02","0","","","3","",""
"400","New Hampshire","NHSP-M","2020-05-02","0","","","6","",""
"401","New Hampshire","NNHCF","2020-05-02","0","","","1","",""
"402","New Hampshire","SPU & RTU","2020-05-02","0","","","0","",""
"403","New Hampshire","TWC & THU's*","2020-05-02","0","","","1","",""
"404","New Jersey","Central Office Headquarters","2020-05-02","0","","","","","0"
"405","New Jersey","Clinton House","2020-05-02","0","","","","","0"
"406","New Jersey","Columbus House","2020-05-02","0","","","","","0"
"407","New Jersey","Correctional Staff Training Academy","2020-05-02","0","","","","","0"
"408","New Jersey","CURA, Inc.","2020-05-02","0","","","","","0"
"409","New Jersey","Custody Recruitment Unit","2020-05-02","0","","","","","0"
"410","New Jersey","Fenwick House","2020-05-02","0","","","","","0"
"411","New Jersey","Garrett House","2020-05-02","0","","","","","0"
"412","New Jersey","James A. Hemm House","2020-05-02","0","","","","","0"
"413","New Jersey","Kintock Bridgeton 1","2020-05-02","0","","","","","0"
"414","New Jersey","Kintock Bridgeton 2","2020-05-02","0","","","","","0"
"415","New Jersey","Mountainview Youth Correctional Facility","2020-05-02","0","","","","","0"
"416","New Jersey","Tully House","2020-05-02","0","","","","","0"
"417","New York","ADIRONDACK","2020-05-02","0","0","0","","0","0"
"418","New York","ALBION","2020-05-02","0","2","0","","0","0"
"419","New York","ALTONA","2020-05-02","0","1","0","","0","0"
"420","New York","AUBURN","2020-05-02","0","2","0","","0","0"
"421","New York","BARE HILL","2020-05-02","0","3","0","","0","0"
"422","New York","CAPE VINCENT","2020-05-02","0","0","0","","0","0"
